year,mono-module ($/Wp),mono-cell ($/Wp),mono-wafer ($/Wp),poly-Si ($/Wp)
2015.95,0.646869458,0.3334448,0.19641714,0.065203917
2015.955,0.646342458,0.333841869,0.1962184,0.06519858
2015.96,0.646820092,0.334570612,0.19547708,0.064406442
2015.965,0.648493989,0.334509517,0.195540977,0.064124287
2015.97,0.650215195,0.33448965,0.194769554,0.064265435
2015.975,0.650455552,0.334508416,0.194475017,0.064171302
2015.98,0.650734375,0.334500317,0.194597167,0.064223383
2015.985,0.651614062,0.334502709,0.19456079,0.065031626
2015.99,0.652421767,0.33450229,0.194567371,0.065280508
2015.995,0.653966016,0.334502354,0.194567979,0.065053188
2016.0,0.655719948,0.334501792,0.194566812,0.06540507
2016.005,0.65643185,0.334503991,0.194567398,0.066155976
2016.01,0.655893265,0.334498571,0.194567181,0.066096499
2016.015,0.655174929,0.334505311,0.194567257,0.066799799
2016.02,0.655208493,0.334518622,0.194567325,0.067195903
2016.025,0.655318257,0.334401375,0.194566716,0.067063463
2016.03,0.654923916,0.334974924,0.194569077,0.06709651
2016.035,0.656056354,0.335561172,0.194562705,0.067093186
2016.04,0.653775185,0.335445052,0.194573078,0.06709104
2016.04501643,0.649984181,0.335456229,0.194577816,0.067092609
2016.05,0.648402198,0.33547289,0.194472136,0.067092109
2016.055,0.649972502,0.335426578,0.195098701,0.067091997
2016.06,0.649380093,0.335550135,0.195630123,0.067092081
2016.065,0.649291363,0.335307546,0.195503448,0.067093922
2016.07,0.648494394,0.334506413,0.19552379,0.067084178
2016.075,0.648034287,0.334702101,0.195551297,0.06711622
2016.08,0.643482095,0.332816869,0.195422961,0.067044021
2016.085,0.641290736,0.331050542,0.195897253,0.067112927
2016.09,0.641702049,0.33039953,0.196583204,0.06795065
2016.095,0.6407276,0.328674258,0.196474438,0.068012124
2016.1,0.64074929,0.326948946,0.196405232,0.068485899
2016.105,0.641564189,0.327344467,0.197130232,0.069051808
2016.11,0.641869362,0.328037604,0.197564725,0.069057883
2016.115,0.641733385,0.32749711,0.197362174,0.069900917
2016.12,0.641816922,0.326826733,0.197501437,0.069926878
2016.125,0.641797765,0.326926429,0.198322363,0.070463161
2016.13,0.641428375,0.325422164,0.198488011,0.070963274
2016.135,0.644125086,0.324793761,0.198278412,0.071013745
2016.14,0.646029071,0.324757377,0.198692,0.071853364
2016.145,0.645539877,0.323786705,0.199422174,0.071846476
2016.15,0.645621943,0.323026024,0.199369054,0.072412562
2016.155,0.645562091,0.322965946,0.199346356,0.072955912
2016.16,0.646248624,0.323017513,0.199365682,0.072816858
2016.165,0.646841149,0.322994187,0.199357612,0.072842659
2016.17,0.648328028,0.323004477,0.199359887,0.072870426
